%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1588238473561486692,6359,1588238473560688972,/gps,0,1,35.6751046317,128.44802945,49.978,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473689373437,6360,1588238473686739921,/gps,0,1,35.67510463,128.44802946,49.978,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473817488104,6361,1588238473816225051,/gps,0,1,35.6751046133,128.448029462,49.982,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473944990672,6362,1588238473944636106,/gps,0,1,35.6751046317,128.448029453,49.978,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474073841166,6363,1588238474073364973,/gps,0,1,35.6751046317,128.448029462,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474203156655,6364,1588238474202764034,/gps,0,1,35.6751046317,128.44802945,49.978,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474335421748,6365,1588238474330835103,/gps,0,1,35.675104625,128.44802945,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474419733425,6366,1588238474419403076,/gps,0,1,35.6751046317,128.448029448,49.981,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474553205806,6367,1588238474552053928,/gps,0,1,35.6751046383,128.448029452,49.983,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474682211150,6368,1588238474680282115,/gps,0,1,35.6751046217,128.448029447,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474805914070,6369,1588238474805568933,/gps,0,1,35.675104635,128.448029447,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238474936601585,6370,1588238474936121940,/gps,0,1,35.67510463,128.448029453,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238475063729687,6371,1588238475062650918,/gps,0,1,35.6751046367,128.448029433,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238475196409405,6372,1588238475195915937,/gps,0,1,35.67510464,128.448029428,49.982,0.3136,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,1.2544,1
1588238475322168562,6373,1588238475321527957,/gps,0,1,35.6751046283,128.448029425,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238475409149453,6374,1588238475408468961,/gps,0,1,35.67510465,128.44802942,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238475577044560,6375,1588238475576082944,/gps,0,1,35.675104635,128.448029417,49.98,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238475673028032,6376,1588238475666080951,/gps,0,1,35.675104645,128.4480294,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238475801882669,6377,1588238475801448106,/gps,0,1,35.6751046417,128.448029403,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238475925982775,6378,1588238475924699068,/gps,0,1,35.6751046433,128.448029395,49.983,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476055633637,6379,1588238476054723978,/gps,0,1,35.6751046483,128.448029383,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476181194119,6380,1588238476180603027,/gps,0,1,35.675104655,128.448029377,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238476310601146,6381,1588238476309962987,/gps,0,1,35.675104665,128.448029375,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
